"テーマ情報
Theme information",,,,,"Ｆタームデータ
F-term data",,,,
"テーマ
コード
Theme code","解析停止
Deactivated","解析
タイプ
Type","テーマ名
Theme name","FIカバー範囲
FI coverage","改正情報（メンテ内容等）
Maintenance information","Ｆタームの有無
F-term
existence","解析年範囲
Assigned period",,"再解析中
Under
reassignment"
,,,,,,,"開始年
Start","終了年
End",
2B001,,ＦＩ,田植機の機枠                                                                                                                                                                                                                                                                                                                                                                           ,"A01C11/02,311-11/02,312@Z",ＦＩ化（H05）                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,○,,1993,
2B002,,Ｆ,化粧合板                                                                                                                                                                                                                                                                                                                                                                                 ,B27D5/00,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,○,,,
2B003,,Ｆ,人工魚礁                                                                                                                                                                                                                                                                                                                                                                                 ,A01K61/70-61/78,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,○,,,
2B004,○,,農作業機用昇降装置,(A01B63/00-63/12),2B304へ変更（H04）,○,,1988,
2B005,,Ｆ,特定動物用飼料                                                                                                                                                                                                                                                                                                                                                                        ,A23K50/00-50/10;50/20-50/90,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,○,,,
2B011,,部分Ｆ,きのこの栽培                                                                                                                                                                                                                                                                                                                                                                           ,A01G18/00-18/80,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,○,,,
2B012,,ＦＩ,園芸用切り取り具                                                                                                                                                                                                                                                                                                                                                                     ,"A01G3/00-3/08,504",ＦＩ化（H05）                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,○,,1993,
2B013,,ＦＩ,林業                                                                                                                                                                                                                                                                                                                                                                                       ,A01G23/00-23/14,ＦＩ化（H05）                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,○,,1993,
2B014,○,,水耕栽培,(A01G31/00-31/02),2B314へ変更,○,,1988,
2B019,,部分Ｆ,釣竿                                                                                                                                                                                                                                                                                                                                                                                       ,A01K87/00-87/08@Z,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,○,,,
2B022,,部分Ｆ,植物の栽培                                                                                                                                                                                                                                                                                                                                                                              ,A01G2/00-2/38;5/00-7/06@Z;9/28;17/00-17/02;17/18;20/00-22/67;24/00-24/60,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,○,,,
2B023,,部分Ｆ,植物用支柱                                                                                                                                                                                                                                                                                                                                                                              ,A01G9/12-9/12@Z;17/04-17/16,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,○,,,
2B024,,部分Ｆ,植物の保護                                                                                                                                                                                                                                                                                                                                                                              ,A01G11/00-15/00,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,○,,,
2B025,,ＦＩ,潅水                                                                                                                                                                                                                                                                                                                                                                                       ,A01G25/00-29/00,ＦＩ化（H05）                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,○,,1993,
2B026,,部分Ｆ,海藻の栽培                                                                                                                                                                                                                                                                                                                                                                              ,"A01G33/00-33/02,102",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,○,,,
